央视频道,#genre#
陕西公共,http://shanxiunicom.livestr.wasu.tv/5B63686E5D575330303030303031367C3130303236357C7C7C7C687474707C74735B2F63686E5D5B74735D305B2F74735D5B7375735D315B2F7375735DVSDNSOOONERCOM00
陕西体育,http://shanxiunicom.livestr.wasu.tv/5B63686E5D575330303030303031367C3130303236377C7C7C7C687474707C74735B2F63686E5D5B74735D305B2F74735D5B7375735D315B2F7375735DVSDNSOOONERCOM00
西部电影,http://shanxiunicom.livestr.wasu.tv/5B63686E5D575330303030303031367C3130303236387C7C7C7C687474707C74735B2F63686E5D5B74735D305B2F74735D5B7375735D315B2F7375735DVSDNSOOONERCOM00
西安教育,http://shanxiunicom.livestr.wasu.tv/5B63686E5D575330303030303031367C3130303037317C7C7C7C687474707C74735B2F63686E5D5B74735D315B2F74735D5B7375735D315B2F7375735DVSDNSOOONERCOM00
延安综合,http://live.cloud.yanews.cn/video/s10001-YATV-1/index.m3u8
延安公共,http://live.cloud.yanews.cn/video/s10001-YATV-2/index.m3u8
洛川融媒,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225908/index.m3u8

少儿频道,#genre#
金鹰卡通,http://shanxiunicom.livestr.wasu.tv/5B63686E5D575330303030303030347C3533367C317C383030307CE98791E9B9B0E58DA1E9809A7C687474707C74735B2F63686E5D5B74735D307C687474705B2F74735DVSDNSOOONERCOM00
卡酷卡通,http://shanxiunicom.livestr.wasu.tv/5B63686E5D575330303030303030347C3533357C317C383030307CE58DA1E985B7E58AA8E794BB7C687474707C74735B2F63686E5D5B74735D307C687474705B2F74735DVSDNSOOONERCOM00
优漫卡通,http://shanxiunicom.livestr.wasu.tv/5B63686E5D575330303030303030347C3533347C317C383030307CE4BC98E6BCABE58DA1E9809A7C687474707C74735B2F63686E5D5B74735D307C687474705B2F74735DVSDNSOOONERCOM00
炫动卡通,http://shanxiunicom.livestr.wasu.tv/5B63686E5D575330303030303030347C3533337C317C383030307CE782ABE985B7E58DA1E9809A7C687474707C74735B2F63686E5D5B74735D307C687474705B2F74735DVSDNSOOONERCOM00
嘉佳卡通,http://shanxiunicom.livestr.wasu.tv/5B63686E5D575330303030303030347C3533327C317C383030307CE59889E4BDB3E58DA1E9809A7C687474707C74735B2F63686E5D5B74735D307C687474705B2F74735DVSDNSOOONERCOM00

影视频道,#genre#
成龙,http://cfss.cc/cdn/hy/11342386.flv
王晶,http://cfss.cc/cdn/hy/11602058.flv
沈腾,http://cfss.cc/cdn/hy/11601968.flv
黄渤,http://cfss.cc/cdn/hy/11352876.flv
徐克,http://cfss.cc/cdn/hy/11352909.flv
强森,http://cfss.cc/cdn/hy/21059581.flv
贺岁,http://cfss.cc/cdn/hy/11601971.flv
喜剧,http://cfss.cc/cdn/hy/11352877.flv
港片,http://cfss.cc/cdn/hy/11602043.flv
周星驰,http://cfss.cc/cdn/hy/11342412.flv
周润发,http://cfss.cc/cdn/hy/11342387.flv
林正英,http://cfss.cc/cdn/hy/11342421.flv
李连杰,http://cfss.cc/cdn/hy/11342390.flv
古天乐,http://cfss.cc/cdn/hy/29982675.flv
洪金宝,http://cfss.cc/cdn/hy/11279251.flv
梁家辉,http://cfss.cc/cdn/hy/11342429.flv
刘德华,http://cfss.cc/cdn/hy/11342424.flv
斯坦森,http://cfss.cc/cdn/hy/21059588.flv
甄子丹,http://cfss.cc/cdn/hy/11352935.flv
功夫片,http://cfss.cc/cdn/hy/11352941.flv
黑帮片,http://cfss.cc/cdn/hy/11336719.flv
战争片,http://cfss.cc/cdn/hy/21059574.flv
高分动作,http://cfss.cc/cdn/hy/11352884.flv
动作电影,http://cfss.cc/cdn/hy/11602077.flv
搞笑喜剧,http://cfss.cc/cdn/hy/11342423.flv
喜剧专场,http://cfss.cc/cdn/hy/11602044.flv
欢笑影院,http://cfss.cc/cdn/hy/11352894.flv
不挤影院,http://cfss.cc/cdn/hy/11352897.flv
国产悬疑,http://cfss.cc/cdn/hy/11342395.flv
快意江湖,http://cfss.cc/cdn/hy/11342435.flv
黑帮斗争,http://cfss.cc/cdn/hy/11342419.flv
嫣然影厅,http://cfss.cc/cdn/hy/11601977.flv
女神系列,http://cfss.cc/cdn/hy/11336571.flv
经典港片,http://cfss.cc/cdn/hy/11352965.flv
喜乐影院,http://cfss.cc/cdn/hy/21059580.flv
蘑菇影厅,http://cfss.cc/cdn/hy/11601981.flv
厚大法考,http://cfss.cc/cdn/hy/11601965.flv
亮剑,http://cfss.cc/cdn/hy/30080238.flv
亮剑,https://www.goodiptv.club/huya/30080238
繁花,http://cfss.cc/cdn/hy/21059580.flv
天道,http://cfss.cc/cdn/yy/1382735574.flv
好先生,http://cfss.cc/cdn/hy/11602088.flv
封神榜,http://cfss.cc/cdn/hy/23749096.flv
寻秦记,http://cfss.cc/cdn/hy/23864973.flv
寻秦记,http://cfss.cc/cdn/yy/1382749900.flv
鹿鼎记,http://cfss.cc/cdn/hy/23865080.flv
鹿鼎记,http://cfss.cc/cdn/yy/1382704650.flv
洗冤录,http://cfss.cc/cdn/hy/23903130.flv
天龙八部,http://cfss.cc/cdn/hy/23903123.flv
天龙八部,http://cfss.cc/cdn/yy/1351814644.flv
神雕侠侣,http://cfss.cc/cdn/hy/23865171.flv
笑傲江湖,http://cfss.cc/cdn/hy/23865142.flv
笑傲江湖,http://cfss.cc/cdn/yy/1354930909.flv
